"","X","Rank","Player","Age","Tm","First","Pts.Won","Pts.Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","season","player_id","poss","mp","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","war_playoffs","predator_offense","predator_defense","predator_total","pace_impact"
"216",218,"6","Stephen Curry",25,"GSW",0,66,1250,0.053,78,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225,2014,"curryst01",6419,3142,7.758268647,0.522739763,8.281008411,18.14294257,16.09322437,2.049718199,7.759047461,1.062668761,8.821716221,2.177092117
"217",219,"7","Chris Paul",28,"LAC",0,45,1250,0.036,62,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27,2014,"paulch01",5387,2643,7.723907354,3.6684386,11.39234595,19.27121673,15.30220204,3.969014693,7.213998077,4.203061756,11.41705983,0.370430902
"218",220,"8","Al Jefferson",29,"CHA",0,34,1250,0.027,73,35,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146,2014,"jeffeal01",5168,2659,-0.626954433,1.88079903,1.253844597,5.390809652,5.202659857,0.188149795,-1.30667775,2.090989885,0.784312135,-0.806759413
"219",221,"9","Paul George",23,"IND",0,33,1250,0.026,80,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178,2014,"georgpa01",7086,3679,2.969863372,3.033285771,6.003149143,16.70974488,12.44134378,4.268401103,2.603735833,3.894675454,6.498411287,0.729559527
"220",222,"10","LaMarcus Aldridge",28,"POR",0,26,1250,0.021,69,36.2,23.2,11.1,2.6,0.9,1,0.458,0.2,0.822,7.5,0.144,2014,"aldrila01",5862,2939,1.433515593,2.326357965,3.759873558,9.746017938,7.721583795,2.024434143,2.024422056,2.497569684,4.521991741,-0.847995158
"221",223,"11","Kevin Love",25,"MIN",0,25,1250,0.02,77,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245,2014,"loveke01",5854,2797,5.681616554,0.884102594,6.565719148,13.57725105,13.57725105,0,5.988344167,1.029530669,7.017874836,2.045064673
"222",224,"12T","Tim Duncan",37,"SAS",0,21,1250,0.017,74,29.2,15.1,9.7,3,0.6,1.9,0.49,0,0.731,7.4,0.164,2014,"duncati01",5764,2910,-0.492345586,2.747567924,2.255222338,7.489080481,4.953277252,2.535803229,-0.309690202,2.981612623,2.67192242,-0.286517867
"223",225,"12T","Tony Parker",31,"SAS",0,21,1250,0.017,68,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141,2014,"parketo01",5407,2716,0.86210598,-0.977845265,-0.115739285,3.644456823,2.671349727,0.973107096,0.049189082,-0.510575185,-0.461386103,-0.913523652
"224",226,"14","Dirk Nowitzki",35,"DAL",0,7,1250,0.006,80,32.9,21.7,6.2,2.7,0.9,0.6,0.497,0.398,0.899,10.9,0.199,2014,"nowitdi01",5793,2891,3.93169125,0.261370689,4.193061939,10.23313932,10.0573137,0.17582562,5.124266692,0.539025386,5.663292079,0.000699376
"225",227,"15","Carmelo Anthony",29,"NYK",0,4,1250,0.003,77,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7,0.172,2014,"anthoca01",5675,2982,4.174904921,-0.390214473,3.784690448,9.860994962,9.860994962,0,4.665614182,-0.402147248,4.263466934,-0.781350262
"226",229,"17","Mike Conley",26,"MEM",0,1,1250,0.001,73,33.5,17.2,2.9,6,1.5,0.2,0.45,0.361,0.815,8.2,0.161,2014,"conlemi01",5150,2713,3.167861962,0.195684697,3.363546659,8.401862121,8.112315241,0.28954688,2.812192687,1.296289301,4.108481987,-0.794102797
"227",230,"1","Stephen Curry",26,"GSW",100,1198,1300,0.922,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,2015,"curryst01",7192,3439,8.600890397,2.437371187,11.03826158,25.08987314,19.91478519,5.175087958,8.787714967,2.657046848,11.44476181,3.130308659
"228",231,"2","James Harden",25,"HOU",25,936,1300,0.72,81,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265,2015,"hardeja01",7440,3617,7.738230976,-0.234725231,7.503505746,19.32520438,16.12853216,3.196672225,7.13271461,0.400571086,7.533285696,1.519191104
"229",232,"3","LeBron James",30,"CLE",5,552,1300,0.425,69,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,2015,"jamesle01",6494,3337,4.844198435,0.166578199,5.010776634,13.31294722,10.08546782,3.227479404,5.996404447,-0.461317608,5.535086839,0.024679455
"230",233,"4","Russell Westbrook",26,"OKC",0,352,1300,0.271,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,2015,"westbru01",4759,2302,6.093559789,-0.487868576,5.605691214,10.11974092,10.11974092,0,6.239868745,-0.201795156,6.038073588,2.991530285
"231",234,"5","Anthony Davis",21,"NOP",0,203,1300,0.156,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274,2015,"davisan02",5116,2627,3.840856691,4.708205134,8.549061825,15.16301555,14.52595491,0.637060637,4.356446626,4.731154488,9.087601114,-0.059946736
"232",235,"6","Chris Paul",29,"LAC",0,124,1300,0.095,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,2015,"paulch01",6633,3302,8.557501318,2.111893393,10.66939471,22.6091422,19.41801466,3.191127548,8.772725388,2.137895807,10.91062119,-0.393642907
"233",236,"7","LaMarcus Aldridge",29,"POR",0,6,1300,0.005,71,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165,2015,"aldrila01",5385,2720,2.278443308,1.637708536,3.916151844,9.152786751,8.937972946,0.214813805,2.261604978,1.658809376,3.920414354,-0.937202974
"234",237,"8T","Marc Gasol",30,"MEM",0,3,1300,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,2015,"gasolma01",6027,3103,1.357467162,2.951834991,4.309302153,11.18160504,9.26124156,1.920363479,1.190276733,2.794489722,3.984766455,-0.421258497
"235",238,"8T","Blake Griffin",25,"LAC",0,3,1300,0.002,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183,2015,"griffbl01",5863,2913,3.288511092,-0.267539158,3.020971934,8.663354119,5.710721338,2.952632782,3.448330688,0.24572859,3.694059277,0.405686116
"236",239,"10T","Tim Duncan",38,"SAS",0,1,1300,0.001,77,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,0.207,2015,"duncati01",4895,2477,0.356223139,3.399775037,3.755998176,8.215443114,6.849059755,1.366383359,0.195692026,4.114111801,4.309803827,-0.526212504
"237",240,"10T","Kawhi Leonard",23,"SAS",0,1,1300,0.001,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,2015,"leonaka01",4539,2283,3.444919181,4.774206859,8.21912604,12.85468151,12.1137221,0.740959409,2.920704931,5.684152256,8.604857186,0.440937212
"238",241,"10T","Klay Thompson",24,"GSW",0,1,1300,0.001,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172,2015,"thompkl01",6643,3216,4.020361765,0.512033989,4.532395754,12.05876216,10.25668225,1.802079912,4.330160793,0.614944941,4.945105734,0.773957109
